starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Chico, CA",39.7754,-121.9199,Uniform + geopolitical constraint,1209.7421667734695
"Chico, CA",39.7754,-121.9199,WorldPop + geopolitical constraint,1209.7421667734695
"Clarksville, GA",34.6485,-83.5473,Uniform baseline,1057.6829422876826
"Clarksville, GA",34.6485,-83.5473,WorldPop baseline,6998.598231199151
"Clarksville, GA",34.6485,-83.5473,Uniform + geopolitical constraint,2169.5141323172293
"Clarksville, GA",34.6485,-83.5473,WorldPop + geopolitical constraint,1224.6041878324943
"Cobargo, Australia",-36.3886,149.89,Uniform baseline,865.029317817975
"Cobargo, Australia",-36.3886,149.89,WorldPop baseline,7938.448675515517
"Cobargo, Australia",-36.3886,149.89,Uniform + geopolitical constraint,865.029317817975
"Cobargo, Australia",-36.3886,149.89,WorldPop + geopolitical constraint,6428.869118434262
"Colburn, ID",48.4,-116.55,Uniform baseline,340.0918801166593
"Colburn, ID",48.4,-116.55,WorldPop baseline,7865.542439882657
"Colburn, ID",48.4,-116.55,Uniform + geopolitical constraint,340.0918801166593
"Colburn, ID",48.4,-116.55,WorldPop + geopolitical constraint,340.0918801166593
"Conrad, MT",48.17,-111.95,Uniform baseline,19.264548347189777
"Conrad, MT",48.17,-111.95,WorldPop baseline,7671.818394603101
"Conrad, MT",48.17,-111.95,Uniform + geopolitical constraint,19.264548347189777
"Conrad, MT",48.17,-111.95,WorldPop + geopolitical constraint,19.264548347189777
"Corpus Christi, TX",27.7931,-97.4519,Uniform baseline,2560.8363526389026
"Corpus Christi, TX",27.7931,-97.4519,WorldPop baseline,8522.555729970158
"Corpus Christi, TX",27.7931,-97.4519,Uniform + geopolitical constraint,2574.2691044482417
"Corpus Christi, TX",27.7931,-97.4519,WorldPop + geopolitical constraint,879.0039566391328
"Cromwell, NZ",-45.05,169.2,Uniform baseline,1365.940785742185
"Cromwell, NZ",-45.05,169.2,WorldPop baseline,9524.392600960153
"Cromwell, NZ",-45.05,169.2,Uniform + geopolitical constraint,1365.940785742185
"Cromwell, NZ",-45.05,169.2,WorldPop + geopolitical constraint,8176.536755442515
"Dallas, TX",32.7999,-96.8182,Uniform baseline,2115.2886401497244
"Dallas, TX",32.7999,-96.8182,WorldPop baseline,8086.382181692745
"Dallas, TX",32.7999,-96.8182,Uniform + geopolitical constraint,2115.2886401497244
"Dallas, TX",32.7999,-96.8182,WorldPop + geopolitical constraint,803.9450240575402
"Debeque, CO",39.289,-108.205,Uniform baseline,1015.2746105458162
"Debeque, CO",39.289,-108.205,WorldPop baseline,8233.54497059796
"Debeque, CO",39.289,-108.205,Uniform + geopolitical constraint,1015.2746105458162
"Debeque, CO",39.289,-108.205,WorldPop + geopolitical constraint,1015.2746105458162
"Delta, UT",39.3461,-112.5894,Uniform baseline,963.4283625768576
"Delta, UT",39.3461,-112.5894,WorldPop baseline,8466.417107409628
"Delta, UT",39.3461,-112.5894,Uniform + geopolitical constraint,963.4283625768576
"Delta, UT",39.3461,-112.5894,WorldPop + geopolitical constraint,963.4283625768576
"Denver, CO",39.7457,-104.9954,Uniform baseline,1074.9093060161792
"Denver, CO",39.7457,-104.9954,WorldPop baseline,8014.914395370379
"Denver, CO",39.7457,-104.9954,Uniform + geopolitical constraint,1074.9093060161792
"Denver, CO",39.7457,-104.9954,WorldPop + geopolitical constraint,767.8498264205714
"Douglas, WY",42.7401,-105.3504,Uniform baseline,781.650644981381
"Douglas, WY",42.7401,-105.3504,WorldPop baseline,7787.046885721007
"Douglas, WY",42.7401,-105.3504,Uniform + geopolitical constraint,781.650644981381
"Douglas, WY",42.7401,-105.3504,WorldPop + geopolitical constraint,781.650644981381
"Draper, UT",40.4799,-111.8229,Uniform baseline,836.3153187955978
"Draper, UT",40.4799,-111.8229,WorldPop baseline,8326.97309606443
"Draper, UT",40.4799,-111.8229,Uniform + geopolitical constraint,836.3153187955978
"Draper, UT",40.4799,-111.8229,WorldPop + geopolitical constraint,836.3153187955978
"Dubois, ID",44.1704,-112.2251,Uniform baseline,426.1852657827961
"Dubois, ID",44.1704,-112.2251,WorldPop baseline,8028.035171653568
"Dubois, ID",44.1704,-112.2251,Uniform + geopolitical constraint,426.1852657827961
"Dubois, ID",44.1704,-112.2251,WorldPop + geopolitical constraint,426.1852657827961
"Dubuque, IA",42.4446,-90.6785,Uniform baseline,1135.2012030252572
"Dubuque, IA",42.4446,-90.6785,WorldPop baseline,6953.212681602866
"Dubuque, IA",42.4446,-90.6785,Uniform + geopolitical constraint,1135.2012030252572
